country_id,indicator_id,Year,Value,Gender
2,1,1990,2028553750,
2,1,1991,1099559028,
2,1,1992,652174990.8,
2,1,1993,1185315468,
2,1,1994,1880950864,
2,1,1995,2392764853,
2,1,1996,3199640815,
2,1,1997,2258513974,
2,1,1998,2545964541,
2,1,1999,3212121651,
2,1,2000,3480355258,
2,1,2001,3922100794,
2,1,2002,4348068242,
2,1,2003,5611496257,
2,1,2004,7184685782,
2,1,2005,8052077248,
2,1,2006,8896075005,
2,1,2007,10677324853,
2,1,2008,12881352894,
2,1,2009,12044205550,
2,1,2010,11926926616,
2,1,2011,12890760315,
2,1,2012,12319834195,
2,1,2013,12776224497,
2,1,2014,13228147516,
2,1,2015,11386853113,
2,1,2016,11861199831,
2,1,2017,13019726212,
2,1,2018,15379509892,
2,1,2019,15585105131,
2,1,2020,15241458745,
2,1,2021,18032010564,
2,1,2022,19017242586,
2,1,2023,23547179830,
2,2,1990,41.13211137,Female
2,2,1991,41.60485887,Female
2,2,1992,41.81717305,Female
2,2,1993,41.81158854,Female
2,2,1994,41.84166583,Female
2,2,1995,41.85008363,Female
2,2,1996,41.93282988,Female
2,2,1997,42.23780356,Female
2,2,1998,42.36192151,Female
2,2,1999,42.47120133,Female
2,2,2000,42.63561939,Female
2,2,2001,42.69016595,Female
2,2,2002,42.62806506,Female
2,2,2003,42.76892534,Female
2,2,2004,42.9254401,Female
2,2,2005,43.10621577,Female
2,2,2006,43.31663576,Female
2,2,2007,43.5605419,Female
2,2,2008,43.83693105,Female
2,2,2009,42.74772131,Female
2,2,2010,43.33100639,Female
2,2,2011,44.76128641,Female
2,2,2012,43.849297,Female
2,2,2013,42.67218113,Female
2,2,2014,42.04858555,Female
2,2,2015,43.38829638,Female
2,2,2016,44.48211636,Female
2,2,2017,43.77112626,Female
2,2,2018,44.28775419,Female
2,2,2019,44.82439567,Female
2,2,2020,44.74152968,Female
2,2,2021,45.03514572,Female
2,2,2022,44.98381155,Female
2,2,2023,44.9944539,Female
2,2,2024,45.07089782,Female
2,3,1991,10.271,Female
2,3,1992,27.073,Female
2,3,1993,22.989,Female
2,3,1994,18.892,Female
2,3,1995,14.107,Female
2,3,1996,12.917,Female
2,3,1997,15.733,Female
2,3,1998,19.776,Female
2,3,1999,20.396,Female
2,3,2000,18.544,Female
2,3,2001,18.94,Female
2,3,2002,18.269,Female
2,3,2003,17.388,Female
2,3,2004,16.694,Female
2,3,2005,16.411,Female
2,3,2006,16.074,Female
2,3,2007,16.39,Female
2,3,2008,13.735,Female
2,3,2009,15.688,Female
2,3,2010,15.85,Female
2,3,2011,13.751,Female
2,3,2012,11.508,Female
2,3,2013,13.397,Female
2,3,2014,15.515,Female
2,3,2015,17.122,Female
2,3,2016,14.49,Female
2,3,2017,12.524,Female
2,3,2018,11.888,Female
2,3,2019,11.318,Female
2,3,2020,11.648,Female
2,3,2021,11.678,Female
2,3,2022,10.405,Female
